2025,draft,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,6,338,5833,2653,691,387,0.433,0.403,0.848,17.3,7.8,2,1.1,15,0.124,0.2,3.2
50,50,ATL,Skylar Mays,LSU,4,105,1111,451,122,182,0.445,0.345,0.859,10.6,4.3,1.2,1.7,2.1,0.092,-0.7,0.4
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,KJ Martin,,5,309,6674,2652,1247,371,0.545,0.329,0.673,21.6,8.6,4,1.2,12.4,0.089,-1.8,0.4
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,3,24,235,97,36,10,0.416,0.313,0.765,9.8,4,1.5,0.4,-0.1,-0.014,-6.6,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,0.459,0.189,0.679,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3
58,58,PHI,Paul Reed,DePaul,6,276,3455,1380,1095,226,0.556,0.322,0.702,12.5,5,4,0.8,12.4,0.173,1,2.6
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,6,185,3131,1300,348,273,0.412,0.393,0.928,16.9,7,1.9,1.5,7.8,0.12,0.3,1.8
,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,6,224,7023,5500,1471,960,0.585,0.317,0.691,31.4,24.6,6.6,4.3,24.8,0.169,4.8,12
2,2,MEM,Ja Morant,Murray State,7,319,10146,7157,1490,2358,0.465,0.31,0.772,31.8,22.4,4.7,7.4,23.9,0.113,2.5,11.5
3,3,NYK,RJ Barrett,Duke,7,404,13340,7622,2232,1340,0.443,0.347,0.699,33,18.9,5.5,3.3,14.8,0.053,-1.6,1.2
4,4,LAL,De'Andre Hunter,Virginia,7,345,10341,5147,1418,545,0.452,0.37,0.82,30,14.9,4.1,1.6,13.1,0.061,-2.5,-1.3
5,5,CLE,Darius Garland,Vanderbilt,7,389,12887,7307,1035,2606,0.452,0.388,0.868,33.1,18.8,2.7,6.7,24.7,0.092,0.2,7.2
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,7,427,12719,6526,1554,1649,0.433,0.369,0.863,29.8,15.3,3.6,3.9,18.2,0.069,-1.5,1.6
8,8,ATL,Jaxson Hayes,Texas,7,384,6317,2591,1510,279,0.652,0.267,0.696,16.5,6.7,3.9,0.7,21.2,0.161,-0.3,2.7
9,9,WAS,Rui Hachimura,Gonzaga,7,356,9973,4584,1707,456,0.498,0.387,0.763,28,12.9,4.8,1.3,16.7,0.08,-1.9,0.2
10,10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,0.398,0.322,0.821,23.1,8.5,2.7,1.2,3.3,0.027,-3.1,-1.7
11,11,MIN,Cameron Johnson,UNC,7,359,9574,4607,1405,705,0.454,0.392,0.85,26.7,12.8,3.9,2,23.9,0.12,1.4,8.1
12,12,CHO,P.J. Washington,Kentucky,7,409,12519,5425,2431,921,0.447,0.357,0.707,30.6,13.3,5.9,2.3,15.2,0.058,-1.2,2.5
13,13,MIA,Tyler Herro,Kentucky,7,365,11886,7086,1821,1471,0.449,0.384,0.875,32.6,19.4,5,4,20.5,0.083,0.7,8.3
14,14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2,0.043,-3.4,-0.8
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,5,198,4028,1242,751,291,0.387,0.321,0.787,20.3,6.3,3.8,1.5,5,0.06,-1.1,1
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,7,401,8598,3665,1015,953,0.419,0.363,0.761,21.4,9.1,2.5,2.4,11.5,0.064,-1.1,1.9
18,18,IND,Goga Bitadze,,7,339,4941,1859,1422,400,0.549,0.232,0.67,14.6,5.5,4.2,1.2,16.6,0.161,1.1,3.9
19,19,SAS,Luka Šamanić,,4,86,921,384,210,55,0.411,0.247,0.706,10.7,4.5,2.4,0.6,0,0.001,-5.6,-0.8
20,20,BOS,Matisse Thybulle,Washington,7,351,7318,1718,714,391,0.439,0.345,0.669,20.8,4.9,2,1.1,14.4,0.095,1,5.5
21,21,OKC,Brandon Clarke,Gonzaga,6,307,6392,3136,1683,409,0.606,0.266,0.698,20.8,10.2,5.5,1.3,24.6,0.185,2.4,7.1
