Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,"VORP
▼",Awards
182,Jamison Battle,24,TOR,SF,17,1,137,15.5,0.855,0.595,0.135,2.5,16.2,9.4,4.1,0.7,0.7,13.3,13.9,0.3,0.1,0.4,0.147,1.9,-0.3,1.6,0.1,
183,Baylor Scheierman,25,BOS,SG,19,0,236,11.9,0.765,0.773,0.023,3.7,14,8.9,8,1.9,0.9,15.3,9.6,0.4,0.2,0.7,0.135,-0.9,1,0.1,0.1,
184,A.J. Green,26,MIL,SG,24,24,696,11.5,0.724,0.926,0.136,0.2,10.8,5.5,9.7,0.9,0.4,9.7,13,1.2,0.3,1.5,0.102,-0.1,-1.2,-1.3,0.1,
185,Jonas Valančiūnas,33,DEN,C,22,0,274,22.1,0.623,0.072,0.352,13.1,28,21,13.5,0.5,4,12.7,25.7,0.6,0.3,1,0.17,0.8,-1,-0.2,0.1,
186,Collin Sexton,27,CHO,SG,21,10,530,16.5,0.615,0.316,0.404,2,8.1,5,27,1.4,0.7,16.4,25.1,0.8,0.2,1,0.093,0.6,-1.6,-1,0.1,
187,Jett Howard,22,ORL,SF,15,0,157,14.6,0.59,0.638,0.072,2.8,9.2,6,10.5,0.6,1.7,2.7,19.4,0.3,0.2,0.4,0.134,1.9,-0.9,1,0.1,
188,Karlo Matković,24,NOP,PF,13,0,155,17.6,0.736,0.214,0.19,5.4,23.7,14,11,0.6,4.7,11.6,13.9,0.3,0.1,0.4,0.124,0.8,0.1,1,0.1,
189,Ryan Nembhard,22,DAL,PG,11,5,199,16.3,0.646,0.37,0.041,1.6,7.9,4.8,40.4,0.5,0,13.9,18.3,0.5,0.1,0.6,0.146,1.6,-1.3,0.3,0.1,
190,Branden Carlson,26,OKC,C,15,0,134,16.9,0.608,0.479,0.104,6.2,17.1,12,11.6,0.7,6.1,5.6,17.2,0.3,0.3,0.5,0.193,0.4,0.9,1.3,0.1,
191,Kevin Huerter,27,CHI,SF,19,8,458,13.6,0.578,0.495,0.181,2.1,11.8,7.1,14.5,1.5,2.6,10.9,20,0.3,0.4,0.6,0.064,-1.1,-0.1,-1.1,0.1,
192,Mike Conley,38,MIN,PG,22,5,426,10.8,0.571,0.695,0.284,2.1,8.2,5.2,21.4,1.5,0.6,13,12.2,0.7,0.4,1,0.117,-1.4,0.4,-1,0.1,
193,Pat Connaughton,33,CHO,SG,12,0,116,15.5,0.623,0.649,0.243,4,18.4,11.3,9,2.1,0.7,6.8,15.9,0.2,0.1,0.3,0.124,0.8,0.8,1.7,0.1,
194,Dylan Harper,19,SAS,SG,12,0,258,16.7,0.537,0.234,0.339,5.3,10.7,8,26.4,2.2,0,11.2,26.4,0.3,0.3,0.6,0.104,-0.4,0,-0.4,0.1,
195,Kelly Oubre Jr.,30,PHI,SF,12,12,418,13.7,0.606,0.45,0.255,3.7,12.4,8,5.6,1.5,2.2,9.8,18.4,0.4,0.4,0.8,0.096,-0.9,-0.1,-1,0.1,
196,Nae'Qwan Tomlin,25,CLE,PF,15,2,256,15.5,0.583,0.366,0.317,9.1,9.1,9.1,4.9,2.4,4.3,4.1,15.7,0.5,0.3,0.8,0.151,-1.2,0.8,-0.4,0.1,
197,Dominick Barlow,22,PHI,PF,13,10,344,12.9,0.587,0.282,0.282,8.9,14.7,11.8,11,1.4,4,16.2,12.8,0.3,0.4,0.8,0.106,-1.5,0.8,-0.7,0.1,
198,Jalen Green,23,PHO,SG,2,2,30,29.1,0.615,0.609,0.217,7.4,7.9,7.7,26.2,3.2,0,7.4,37.8,0.1,0,0.1,0.204,10.8,0.7,11.5,0.1,
199,Tidjane Salaün,20,CHO,PF,10,0,146,15,0.693,0.634,0.366,3.9,23.9,14,6,1.7,1.2,12.8,15.7,0.2,0.1,0.4,0.125,0.4,0.4,0.7,0.1,
200,Derik Queen,21,NOP,C,23,11,563,16.5,0.547,0.077,0.4,7.8,20.8,13.9,22.3,2.1,3,16.2,22.9,0.3,0.3,0.6,0.052,-1.4,0.2,-1.2,0.1,
201,Duop Reath,29,POR,C,18,0,137,12.7,0.728,0.756,0.049,2.2,9.8,5.9,4.3,1,1.3,8.7,13.3,0.3,0.1,0.3,0.111,1.5,-0.7,0.8,0.1,
202,Jordan McLaughlin,29,SAS,PG,8,0,74,15,0.553,0.625,0.125,4.6,4.5,4.5,18.1,4.6,0,7.3,15.6,0.1,0.1,0.2,0.152,-0.2,3.4,3.2,0.1,
