,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
88,Florida A&M,10,3,7,0.3,-16.26,4.5,,,,,2,1,,0,6,,673,821,,72.6,91.6,0.373,0.353,0.505,44.6,49.2,11.4,8.7,0.48,19.4,25.2,0.23
89,Florida Atlantic,13,8,5,0.615,7.14,3.96,,,,,5,1,,1,2,,1078,957,,70,117.3,0.316,0.417,0.569,53.4,47.9,8.6,16.6,0.537,13.7,35.9,0.236
90,Florida Gulf Coast,12,5,7,0.417,-1.72,2.1,,,,,4,3,,1,4,,997,1003,,72.6,112.2,0.3,0.396,0.548,51.3,51.8,12,9.5,0.516,13.3,35.1,0.22
91,Florida International,11,7,4,0.636,-0.62,2.25,,,,,7,1,,0,3,,963,859,,77.1,113.6,0.387,0.383,0.563,50.7,62.6,14.5,15,0.536,14.2,36.7,0.26
92,Florida State,13,7,6,0.538,6.47,-0.22,,,,,7,1,,0,2,,1105,1018,,76.7,110.8,0.338,0.535,0.54,49.3,56.5,12.7,11.2,0.506,13.7,34.5,0.242
93,Fordham,13,9,4,0.692,-3.43,-11.33,,,,,7,2,,0,1,,981,797,,67.6,111.6,0.22,0.372,0.548,58.2,56.9,10.8,7.9,0.532,14.4,36.9,0.147
94,Fresno State,12,6,6,0.5,1.33,0.78,,0,1,,5,3,,0,3,,913,870,,71.3,106.8,0.34,0.413,0.56,51.4,53.5,10.5,6.1,0.528,16.8,31.5,0.244
95,Furman,13,9,4,0.692,-0.04,0.56,,,,,6,1,,2,1,,1022,915,,68.9,114,0.316,0.494,0.578,55.9,60.2,8.4,10.2,0.562,16,34.9,0.204
96,Gardner-Webb,15,2,13,0.133,-23.94,2.23,,,,,2,3,,0,8,,1043,1314,,72.4,96.1,0.321,0.385,0.515,45.4,42.9,8.4,7.5,0.481,17.3,25.4,0.225
97,George Mason,12,11,1,0.917,8.56,-4.44,,,,,9,0,,0,1,,960,793,,67.6,118.4,0.52,0.351,0.598,55.4,51.8,8.6,11.8,0.548,14.9,34.7,0.394
98,George Washington,13,9,4,0.692,11.2,-0.05,,,,,6,1,,1,0,,1139,947,,73.6,119.1,0.432,0.424,0.598,55.6,55.3,11.2,10.2,0.563,15.1,35.9,0.316
99,Georgetown,13,9,4,0.692,3.41,-2.52,,1,1,,7,1,,2,1,,1034,957,,69.2,112.7,0.444,0.354,0.545,51,60.5,10.7,13.6,0.499,10.7,30.9,0.322
100,Georgia,12,11,1,0.917,24.76,-3.24,,,,,8,0,,1,0,,1198,862,,78.5,125.9,0.422,0.441,0.605,55.3,50.4,13.7,18.3,0.565,12.2,38.8,0.322
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Georgia Southern,15,10,5,0.667,-6.07,-7.38,,2,0,,7,0,,3,3,,1260,1182,,73.6,113.2,0.403,0.471,0.56,47,42.8,11.8,9.3,0.522,12.3,29.5,0.291
102,Georgia State,13,3,10,0.231,-16.58,-2.08,,1,1,,2,1,,1,7,,855,995,,71.1,92.5,0.349,0.465,0.48,46.8,50.7,9.2,7.3,0.426,16.1,27.5,0.267
103,Georgia Tech,12,8,4,0.667,1.54,-3.21,,,,,8,1,,0,1,,906,849,,71.6,104.3,0.348,0.322,0.528,53,62.9,9.8,12.2,0.498,15.5,32.7,0.235
104,Gonzaga,13,12,1,0.923,32.46,7.62,,,,,6,0,,1,0,,1200,877,,73.9,124.9,0.316,0.31,0.601,57.6,57.5,12,11.1,0.578,11.8,37.2,0.227
105,Grambling,12,5,7,0.417,-7.69,-0.51,,,,,2,0,,1,7,,849,884,,69.7,101.5,0.474,0.351,0.553,47,53.5,12.4,10.4,0.507,19,29,0.34
106,Grand Canyon,12,8,4,0.667,8.23,0.14,,1,0,,6,1,,1,1,,922,825,,70.3,109.3,0.407,0.367,0.553,55.4,52.1,9.4,7.5,0.504,15.3,34.7,0.312
107,Green Bay,14,6,8,0.429,-7.88,1.54,,1,2,,3,1,,1,6,,1024,1077,,66.8,108.6,0.455,0.396,0.567,48.8,51.6,7.1,8.3,0.53,14.6,24.4,0.319
108,Hampton,13,6,7,0.462,-10.93,-8.2,,,,,3,0,,2,4,,961,895,,68.1,108.6,0.411,0.386,0.535,52.9,53.4,11,10.5,0.493,15,36.7,0.293
109,Harvard,13,6,7,0.462,-4.73,-3.82,,,,,4,1,,2,5,,906,888,,65.5,106.4,0.269,0.354,0.565,50,53.6,11.4,9.9,0.532,16,26.6,0.211
110,Hawaii,12,10,2,0.833,8.93,-5.47,,2,0,,10,1,,0,1,,965,757,,71.9,111.9,0.5,0.394,0.572,57.1,53.1,9,8.5,0.527,16,34.7,0.361
111,High Point,14,11,3,0.786,7.42,-7.49,,,,,8,1,,0,1,,1307,971,,71.8,128.8,0.441,0.421,0.624,51.8,53.9,16.5,10.1,0.594,11.1,34,0.322
112,Hofstra,13,9,4,0.692,3.65,-0.44,,,,,3,0,,4,4,,1009,861,,68.2,113.8,0.306,0.41,0.569,54.1,51.8,8.5,11.2,0.541,14.6,35.3,0.221
113,Holy Cross,13,5,8,0.385,-14.11,-1.56,,,,,3,2,,1,6,,861,953,,67,98.9,0.299,0.426,0.516,47.2,46.9,9.9,4.1,0.488,15.2,24.1,0.204
114,Houston,12,11,1,0.917,22.22,2.72,,,,,6,0,,0,0,,954,720,,65.9,119.4,0.253,0.423,0.559,53.4,59.8,13.9,13.7,0.531,11.8,38.2,0.19
115,Houston Christian,12,5,7,0.417,-9.4,-5,,1,3,,3,2,,2,4,,857,879,,66.5,106.3,0.375,0.381,0.545,51.1,59.6,10.2,12,0.521,15.5,30.5,0.243
116,Howard,14,9,5,0.643,-10.03,-6.94,,,,,4,2,,2,3,,1058,990,,70.9,106.6,0.442,0.327,0.553,50.9,57.7,13.4,9.8,0.511,16.6,32.4,0.315
117,Idaho,13,8,5,0.615,-1.4,-1.4,,,,,4,0,,3,4,,1055,927,,69.6,115.5,0.339,0.508,0.584,54.8,56.4,8.5,5.8,0.548,14.1,31.6,0.261
118,Idaho State,13,7,6,0.538,2.71,2.01,,,,,4,1,,2,4,,983,912,,66,114.5,0.391,0.442,0.577,53.7,50.9,8.6,12.4,0.54,15.3,38.2,0.288
119,Illinois,12,9,3,0.75,27.74,9.24,,1,1,,6,1,,1,0,,1057,835,,69.3,127,0.356,0.467,0.601,57.5,49.2,5.4,14,0.563,11.7,39.2,0.279
120,Illinois State,13,10,3,0.769,10.43,-0.65,,2,0,,6,0,,2,1,,1053,875,,68.6,118.1,0.339,0.406,0.582,53.7,50.3,9,6.7,0.562,12.7,32,0.227
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Illinois-Chicago,12,4,8,0.333,-4.84,-2.29,,0,2,,2,2,,1,5,,909,894,,68.5,109.5,0.377,0.358,0.538,50.4,53.1,12.5,13.9,0.491,15.7,39,0.288
122,Incarnate Word,12,6,6,0.5,-0.55,2.89,,1,2,,5,0,,0,5,,998,884,,68.7,121.1,0.34,0.387,0.579,54.5,47.6,9,6.8,0.553,12.5,37,0.239
123,Indiana,13,10,3,0.769,20.77,2.15,,1,1,,9,0,,0,2,,1101,859,,70.5,120.1,0.396,0.505,0.613,53.7,67.5,8.8,7.3,0.575,13.7,29.9,0.306
124,Indiana State,13,7,6,0.538,-6.46,-3.55,,0,2,,5,1,,2,4,,993,952,,71,104.6,0.315,0.467,0.555,49.3,62.9,9.3,5.9,0.525,16.4,26.1,0.226
125,Iona,13,9,4,0.692,-0.39,-2.39,,1,1,,4,1,,4,1,,1046,1020,,72.6,108.7,0.301,0.408,0.56,47.3,49.3,10.4,7.3,0.531,13.8,26.1,0.218
126,Iowa,12,10,2,0.833,21.73,1.15,,1,1,,7,0,,0,2,,966,719,,64.7,124.5,0.404,0.397,0.634,52.8,61.5,13,7.1,0.608,13.7,32.3,0.296
